ME,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2016-08,2016,08,0,24.5,25.87634939285715,27.0357142857143,64.92857142857142,74.79312035714285,82.89285714285715,1,15036,513,0.0,0.0,0.0,0,0,0
2016-09,2016,09,0,25.25,26.0351017857143,27.000000000000004,67.10714285714285,74.65653121428574,79.89285714285714,1,15036,513,0.0,0.0,0.0,0,0,0
2016-10,2016,10,0,25.571428571428577,26.482312885714283,27.685714285714283,64.97142857142858,73.48622422857143,79.54285714285713,1,15036,513,0.0,0.0,0.0,0,0,0
2016-11,2016,11,0,26.0714285714286,26.942861857142873,28.214285714285726,66.17857142857144,75.1012135,81.03571428571428,1,15036,513,0.0,0.0,0.0,0,0,0
2016-12,2016,12,0,26.0,26.955936214285703,27.785714285714278,69.00000000000003,77.1148175,83.25000000000003,1,15036,513,0.0,0.0,0.0,0,0,0
2017-01,2017,01,0,25.628571428571423,26.591154457142842,27.4857142857143,74.14285714285715,81.65823868571428,87.74285714285713,1,15036,513,0.0,0.0,0.0,0,0,0
2017-02,2017,02,1,25.03571428571427,25.969208964285702,26.964285714285722,80.17857142857143,87.0162689285714,92.0,1,15036,513,0.240816975,1.66267625,4.6304045,0,0,0
2017-03,2017,03,21,24.928571428571423,25.95259835714285,27.17857142857145,83.42857142857142,89.63865246428574,94.60714285714285,2,15036,513,0.64552572175,34.9162015,5.036879055,1,0,0
2017-04,2017,04,113,25.22857142857144,26.334429571428558,27.485714285714277,80.0,88.08194705714286,93.82857142857141,4,15036,513,0.6339266331748264,150.305931,2.0785453406000003,1,0,2
2017-05,2017,05,0,25.39285714285715,26.2426592142857,27.0714285714286,80.42857142857142,85.65558260714286,90.2142857142857,1,15036,513,0.0,0.0,0.0,0,0,0
2017-06,2017,06,1,24.750000000000025,25.854560000000024,27.0357142857143,74.17857142857143,80.91167232142855,86.10714285714285,1,15036,513,0.2407874175,1.66267625,4.61526675,0,0,0
2017-07,2017,07,0,23.800000000000022,24.84523825714286,25.97142857142856,73.14285714285714,79.26984125714287,83.97142857142856,1,15036,513,0.0,0.0,0.0,0,0,0
2017-08,2017,08,0,24.5,25.586309428571425,26.25,67.46428571428571,75.15575374999997,80.03571428571426,1,15036,513,0.0,0.0,0.0,0,0,0
2017-09,2017,09,0,23.8,25.6099208,26.8,61.4,71.870237,80.00376075,1,15036,513,0.0,0.0,0.0,0,0,0
2017-10,2017,10,0,,,,,,80.615043,1,15036,513,0.0,0.0,0.0,0,0,0
2017-11,2017,11,0,25.73809523809523,27.7896821904762,30.73809523809523,56.58243154761903,69.94826404761903,80.9861396607143,1,15036,513,0.0,0.0,0.0,0,0,0
2017-12,2017,12,0,26.4,27.012891171428578,27.6,74.08726080000001,77.45544091428575,80.87364160000001,1,15036,513,0.0,0.0,0.0,0,0,0
2018-01,2018,01,0,25.428571428571452,26.701488071428575,27.678571428571423,74.95771485714286,79.88740842857143,86.32517949999998,1,15036,513,0.0,0.0,0.0,0,0,0
2018-02,2018,02,0,24.60714285714285,25.950946928571447,27.321428571428577,81.03832621428572,88.69368949999999,96.17283864285714,1,15036,513,0.0,0.0,0.0,0,0,0
2018-03,2018,03,0,25.678571428571423,26.82467535714285,27.74999999999997,80.07174432142857,85.8303513214286,93.04028757142855,1,15036,513,0.125,0.0,0.0,0,0,0
2018-04,2018,04,0,24.51428571428574,26.4589828,28.74285714285714,73.47914674285717,86.35415337142857,96.3678752857143,1,15036,513,0.5,0.0,0.0,0,0,0
2018-05,2018,05,0,24.678571428571423,26.750405714285726,29.178571428571423,70.05164207142857,83.90410807142857,95.54214735714285,1,15036,513,0.5,0.0,0.0,0,0,0
2018-06,2018,06,0,24.178571428571423,25.626623285714302,26.5357142857143,77.4143119642857,83.25342371428573,89.43066825000001,1,15036,513,0.5,0.0,0.0,0,0,0
2018-07,2018,07,0,24.171428571428557,26.225385828571422,28.457142857142838,65.85309282857142,78.45119962857142,88.56409034285716,1,15036,513,0.5,0.0,0.0,0,0,0
2018-08,2018,08,0,24.571428571428573,26.146780357142877,27.642857142857146,67.50211275,77.001762,83.67289735714286,1,15036,513,0.5,0.0,0.0,0,0,0
2018-09,2018,09,0,25.085714285714282,26.067424285714274,27.00000000000002,70.8720008,77.37037865714284,82.08025188571428,1,15036,513,0.5,0.0,0.0,0,0,0
2018-10,2018,10,0,25.928571428571427,27.1925055,29.285714285714274,64.31151467857143,75.17568060714285,82.98205207142855,1,15036,513,0.5,0.0,0.0,0,0,0
2018-11,2018,11,0,26.357142857142847,27.017857142857125,27.5,74.52187382142858,78.0749912857143,81.98552239285712,1,15036,513,0.5,0.0,0.0,0,0,0
2018-12,2018,12,0,25.657142857142837,27.209047599999998,28.94285714285714,69.96779868571427,80.11243302857142,90.66607091428565,1,15036,513,0.5,0.0,0.0,0,0,0
