ME,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2015-08,2015,08,2,24.02857142857144,26.516878457142855,29.3142857142857,44.65714285714288,64.58371819999999,77.54285714285713,1,29146,427,0.19559637400000002,1.372401,3.7042206,0,0,0
2015-09,2015,09,0,24.857142857142875,26.921359785714277,29.85714285714285,44.74999999999998,64.27204703571428,76.82142857142857,1,29146,427,0.0,0.0,0.0,0,0,0
2015-10,2015,10,0,25.10714285714285,27.301280214285725,30.285714285714274,48.892857142857125,67.96631667857145,80.85714285714288,1,29146,427,0.0,0.0,0.0,0,0,0
2015-11,2015,11,0,25.56785714285714,27.6955286142857,30.696428571428577,52.060714285714276,69.40658134285714,81.6892857142857,1,29146,427,0.0,0.0,0.0,0,0,0
2015-12,2015,12,0,25.89285714285715,26.90799789285715,28.25,67.99999999999999,77.01551857142857,83.14285714285712,1,29146,427,0.0,0.0,0.0,0,0,0
2016-01,2016,01,0,25.3142857142857,26.40736417142856,27.714285714285722,72.85714285714286,83.72050245714289,91.0,1,29146,427,0.0,0.0,0.0,0,0,0
2016-02,2016,02,0,25.892857142857125,27.176136321428576,28.60714285714285,71.42857142857143,81.57112317857143,88.92857142857139,1,29146,427,0.0,0.0,0.0,0,0,0
2016-03,2016,03,0,25.571428571428598,26.79186189285715,28.214285714285698,76.0,85.60434139285715,92.32142857142858,1,29146,427,0.0,0.0,0.0,0,0,0
2016-04,2016,04,2,25.357142857142826,26.90526,28.607142857142875,72.2857142857143,83.14286878571428,90.64285714285712,1,29146,427,0.244495625,1.71550125,4.6304045,0,0,0
2016-05,2016,05,0,25.657142857142862,26.64837265714284,27.628571428571444,75.74285714285716,83.46798088571428,89.82857142857141,1,29146,427,0.0,0.0,0.0,0,0,0
2016-06,2016,06,0,24.7857142857143,26.100850428571427,27.5,68.46428571428572,77.45569692857143,84.07142857142856,1,29146,427,0.0,0.0,0.0,0,0,0
2016-07,2016,07,1,24.25714285714286,25.751468314285724,27.1142857142857,66.17142857142854,75.98236574285713,83.22857142857143,1,29146,427,0.19265358,0.68620052,3.7043236,0,0,0
2016-08,2016,08,0,24.5,25.87634939285715,27.0357142857143,64.92857142857142,74.79312035714285,82.89285714285715,1,29146,427,0.0,0.0,0.0,0,0,0
2016-09,2016,09,0,25.25,26.0351017857143,27.000000000000004,67.10714285714285,74.65653121428574,79.89285714285714,1,29146,427,0.0,0.0,0.0,0,0,0
2016-10,2016,10,0,25.571428571428577,26.482312885714283,27.685714285714283,64.97142857142858,73.48622422857143,79.54285714285713,1,29146,427,0.0,0.0,0.0,0,0,0
2016-11,2016,11,0,26.0714285714286,26.942861857142873,28.214285714285726,66.17857142857144,75.1012135,81.03571428571428,1,29146,427,0.0,0.0,0.0,0,0,0
2016-12,2016,12,0,26.0,26.955936214285703,27.785714285714278,69.00000000000003,77.1148175,83.25000000000003,1,29146,427,0.0,0.0,0.0,0,0,0
2017-01,2017,01,0,25.628571428571423,26.591154457142842,27.4857142857143,74.14285714285715,81.65823868571428,87.74285714285713,1,29146,427,0.0,0.0,0.0,0,0,0
2017-02,2017,02,5,25.03571428571427,25.969208964285702,26.964285714285722,80.17857142857143,87.0162689285714,92.0,1,29146,427,0.371278995,4.28875315,4.87505309,0,0,0
2017-03,2017,03,17,24.928571428571423,25.95259835714285,27.17857142857145,83.42857142857142,89.63865246428574,94.60714285714285,2,29146,427,0.6594327499999999,14.581760899999999,1.9965246749999999,1,0,0
2017-04,2017,04,18,25.22857142857144,26.334429571428558,27.485714285714277,80.0,88.08194705714286,93.82857142857141,2,29146,427,0.269998504,12.35160912,0.6571094000000001,1,0,0
2017-05,2017,05,0,25.39285714285715,26.2426592142857,27.0714285714286,80.42857142857142,85.65558260714286,90.2142857142857,1,29146,427,0.0,0.0,0.0,0,0,0
2017-06,2017,06,0,24.750000000000025,25.854560000000024,27.0357142857143,74.17857142857143,80.91167232142855,86.10714285714285,1,29146,427,0.0,0.0,0.0,0,0,0
2017-07,2017,07,0,23.800000000000022,24.84523825714286,25.97142857142856,73.14285714285714,79.26984125714287,83.97142857142856,1,29146,427,0.0,0.0,0.0,0,0,0
2017-08,2017,08,0,24.5,25.586309428571425,26.25,67.46428571428571,75.15575374999997,80.03571428571426,1,29146,427,0.0,0.0,0.0,0,0,0
2017-09,2017,09,0,23.8,25.6099208,26.8,61.4,71.870237,80.00376075,1,29146,427,0.0,0.0,0.0,0,0,0
2017-10,2017,10,0,,,,,,80.615043,1,29146,427,0.0,0.0,0.0,0,0,0
2017-11,2017,11,0,25.73809523809523,27.7896821904762,30.73809523809523,56.58243154761903,69.94826404761903,80.9861396607143,1,29146,427,0.0,0.0,0.0,0,0,0
2017-12,2017,12,0,26.4,27.012891171428578,27.6,74.08726080000001,77.45544091428575,80.87364160000001,1,29146,427,0.0,0.0,0.0,0,0,0
2018-01,2018,01,1,25.428571428571452,26.701488071428575,27.678571428571423,74.95771485714286,79.88740842857143,86.32517949999998,1,29146,427,0.240816975,0.85775065,4.6304045,0,0,0
2018-02,2018,02,0,24.60714285714285,25.950946928571447,27.321428571428577,81.03832621428572,88.69368949999999,96.17283864285714,1,29146,427,0.0,0.0,0.0,0,0,0
2018-03,2018,03,0,25.678571428571423,26.82467535714285,27.74999999999997,80.07174432142857,85.8303513214286,93.04028757142855,1,29146,427,0.0,0.0,0.0,0,0,0
2018-04,2018,04,0,24.51428571428574,26.4589828,28.74285714285714,73.47914674285717,86.35415337142857,96.3678752857143,1,29146,427,0.0,0.0,0.0,0,0,0
2018-05,2018,05,0,24.678571428571423,26.750405714285726,29.178571428571423,70.05164207142857,83.90410807142857,95.54214735714285,1,29146,427,0.0,0.0,0.0,0,0,0
