SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
201650,0,0.0,0.0,1,0.0,15036,26.1428571428571,82.8571428571429,0,0,0,78.1148828571429,72.4285714285714,26.8628607142857,27.4285714285714,513
201649,0,0.0,0.0,1,0.0,15036,25.8571428571429,82.4285714285714,0,0,0,77.6403057142857,70.8571428571429,26.5510204285714,27.2857142857143,513
201648,0,0.0,0.0,1,0.0,15036,26.2857142857143,79.4285714285714,0,0,0,71.7661548571429,60.2857142857143,27.3928572857143,29.2857142857143,513
201647,0,0.0,0.0,1,0.0,15036,26.2857142857143,79.4285714285714,0,0,0,75.1632657142857,67.5714285714286,26.9336735714286,27.5714285714286,513
201646,0,0.0,0.0,1,0.0,15036,25.8571428571429,82.5714285714286,0,0,0,77.2245842857143,69.0,26.7191987142857,27.8571428571429,513
201645,0,0.0,0.0,1,0.0,15036,25.8571428571429,82.7142857142857,0,0,0,76.2508491428571,67.8571428571429,26.7257178571429,28.1428571428571,513
201644,0,0.0,0.0,1,0.0,15036,25.7142857142857,79.4285714285714,0,0,0,72.1709181428571,62.8571428571429,26.7091838571429,27.5714285714286,513
201643,0,0.0,0.0,1,0.0,15036,25.7142857142857,80.5714285714286,0,0,0,74.4742057142857,67.4285714285714,26.3591271428571,27.1428571428571,513
201642,0,0.0,0.0,1,0.0,15036,25.5714285714286,80.0,0,0,0,75.5,68.5714285714286,26.364796,27.5714285714286,513
201641,0,0.0,0.0,1,0.0,15036,25.5714285714286,75.0,0,0,0,70.6150792857143,62.8571428571429,26.405612,27.4285714285714,513
201640,0,0.0,0.0,1,0.0,15036,25.2857142857143,82.7142857142857,0,0,0,74.670918,63.1428571428571,26.5728454285714,28.7142857142857,513
201639,0,0.0,0.0,1,0.0,15036,25.5714285714286,79.0,0,0,0,73.2088907142857,64.7142857142857,26.3739678571429,27.8571428571429,513
201638,0,0.0,0.0,1,0.0,15036,25.4285714285714,80.8571428571429,0,0,0,75.6507935714286,69.4285714285714,26.1031742857143,27.0,513
201637,0,0.0,0.0,1,0.0,15036,25.0,83.4285714285714,0,0,0,77.6615648571429,70.4285714285714,25.8639454285714,26.7142857142857,513
201636,0,0.0,0.0,1,0.0,15036,25.0,76.2857142857143,0,0,0,72.1048757142857,63.8571428571429,25.7993195714286,26.4285714285714,513
