SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
201915,0,0.0,0.0,1,0.0,29146,25.2857142857143,91.868855,0,0,0,84.3175451428571,76.3405052857143,26.5405845714286,27.8571428571429,427
201914,0,0.0,0.0,1,0.0,29146,24.4285714285714,93.4088835714286,0,0,0,88.9292605714286,83.0516362857143,25.5454545714286,26.7142857142857,427
201913,0,0.0,0.0,1,0.0,29146,24.1428571428571,95.8626971428571,0,0,0,91.4643008571429,82.3342392857143,25.3116885714286,26.7142857142857,427
201912,0,0.0,0.0,1,0.0,29146,24.5714285714286,95.0978478571429,0,0,0,89.6657664285714,78.3531917142857,25.7012988571429,26.8571428571429,427
201911,0,0.0,0.0,1,0.0,29146,24.4285714285714,95.8626971428571,0,0,0,91.5132008571429,85.8444838571429,25.2987011428571,26.2857142857143,427
201910,1,0.9632679,3.4310026,1,18.521618,29146,23.5714285714286,95.0268535714286,1,0,0,89.4032471428571,82.2898204285714,25.1298702857143,26.7142857142857,427
201909,0,0.0,0.0,1,0.0,29146,24.2857142857143,92.7645608571429,0,0,0,88.3497662857143,81.6179184285714,25.5194805714286,26.7142857142857,427
201908,0,0.0,0.0,1,0.0,29146,26.0,91.9146207142857,0,0,0,86.3973084285714,82.3688204285714,26.9480517142857,27.5714285714286,427
201907,0,0.0,0.0,1,0.0,29146,25.5714285714286,94.3561485714286,0,0,0,88.293488,83.8136111428571,26.9428571428571,28.1428571428571,427
201906,0,0.0,0.0,1,0.0,29146,25.5714285714286,95.93968,0,0,0,87.0050777142857,74.3841644285714,27.2446341428571,29.1428571428571,427
201905,0,0.0,0.0,1,0.0,29146,25.4285714285714,93.6654765714286,0,0,0,79.5143537142857,62.6068408571429,28.0773811428571,30.7142857142857,427
201904,0,0.0,0.0,1,0.0,29146,25.2857142857143,92.0247931428571,0,0,0,78.7605608571429,62.0197532857143,27.8392857142857,30.5714285714286,427
201903,0,0.0,0.0,1,0.0,29146,24.4285714285714,100.0,0,0,0,88.1783135714286,76.599186,26.5142857142857,28.2857142857143,427
201902,0,0.0,0.0,1,0.0,29146,25.4285714285714,91.9400314285714,0,0,0,86.2655357142857,80.2792105714286,26.5428571428571,27.4285714285714,427
201901,0,0.0,0.0,1,0.0,29146,26.4285714285714,87.3579152857143,0,0,0,81.7558828571429,78.2169311428571,27.1142857142857,27.5714285714286,427
201852,0,0.0,0.0,1,0.0,29146,24.7142857142857,89.6747637142857,0,0,0,81.9691814285714,72.7401298571429,26.2880951428571,28.4285714285714,427
201851,0,0.0,0.0,1,0.0,29146,25.4285714285714,88.0496217142857,0,0,0,75.3117978571428,59.932876,27.714286,30.1428571428571,427
201850,0,0.0,0.0,1,0.0,29146,25.4285714285714,87.4798615714286,0,0,0,74.7957387142857,58.9706897142857,27.9761902857143,30.8571428571429,427
201849,0,0.0,0.0,1,0.0,29146,26.2857142857143,100.768192285714,0,0,0,86.7295642857143,79.9783667142857,26.9523808571429,27.7142857142857,427
201848,0,0.0,0.0,1,0.0,29146,26.1428571428571,85.2899632857143,0,0,0,80.2075378571429,74.8889448571429,27.1142857142857,27.8571428571429,427
201847,0,0.0,0.0,1,0.0,29146,26.5714285714286,83.0040294285714,0,0,0,78.1022628571429,75.5183967142857,27.1428571428571,27.8571428571429,427
201846,0,0.0,0.0,1,0.0,29146,26.4285714285714,79.5003437142857,0,0,0,77.2017387142857,74.1717537142857,26.9142857142857,27.1428571428571,427
201845,0,0.0,0.0,1,0.0,29146,26.2857142857143,80.1477531428571,0,0,0,76.7884257142857,73.5084,26.9,27.1428571428571,427
201844,0,0.0,0.0,1,0.0,29146,26.1428571428571,81.5104534285714,0,0,0,77.974152,72.3891725714286,26.7792208571429,28.0,427
201843,0,0.0,0.0,1,0.0,29146,26.2857142857143,81.5106114285714,0,0,0,78.1360542857143,72.980304,26.792208,27.7142857142857,427
201842,0,0.0,0.0,1,0.0,29146,25.4285714285714,85.960054,0,0,0,74.2359354285714,59.2719064285714,27.400974,30.2857142857143,427
201841,0,0.0,0.0,1,0.0,29146,25.8571428571429,82.9470894285714,0,0,0,70.3565807142857,52.6046757142857,27.7976191428571,31.1428571428571,427
201840,0,0.0,0.0,1,0.0,29146,25.7142857142857,80.1747551428571,0,0,0,73.3105974285714,62.9915542857143,26.8436151428571,28.5714285714286,427
201839,0,0.0,0.0,1,0.0,29146,25.8571428571429,83.630608,0,0,0,79.9652822857143,74.2303002857143,26.1688314285714,27.0,427
201838,0,0.0,0.0,1,0.0,29146,24.7142857142857,83.6253545714286,0,0,0,78.2934764285714,72.7333235714286,25.8311685714286,26.8571428571429,427
201837,0,0.0,0.0,1,0.0,29146,24.7142857142857,79.3627337142857,0,0,0,75.7097314285714,70.3404347142857,25.7922077142857,26.2857142857143,427
201836,0,0.0,0.0,1,0.0,29146,24.4285714285714,83.607808,0,0,0,79.5728057142857,74.0643911428571,25.7012985714286,26.2857142857143,427
201835,0,0.0,0.0,1,0.0,29146,24.4285714285714,82.1402537142857,0,0,0,77.2358607142857,71.4295112857143,25.6753245714286,26.2857142857143,427
201834,0,0.0,0.0,1,0.0,29146,24.2857142857143,80.7507791428571,0,0,0,76.3708935714286,70.0787257142857,25.7402597142857,26.4285714285714,427
